price,ad_title,href,location,square_meter,owner,real_estate_firm,id,img_href
"11 900 000,-","HOLMENKOLLEN / VOKSENLIA - Stor, innholdsrik terrasseleil. o/2 plan - Heis - Solrike uteområder - Flott fjordutsikt - Garasjeplass - God bodplass",https://www.finn.no/realestate/homes/ad.html?finnkode=120049105,"Jerpefaret 10, Oslo, Vinderen",228 m²,Eier (Selveier),Sem & Johnsen Eiendomsmegling,120049105,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/5/120/049/105_41553746.jpg
"1 799 000,-",Sentrum - Veldig flott 3-roms leilighet. Betydelig oppgradert i 2015. Lave felleskostnader.,https://www.finn.no/realestate/homes/ad.html?finnkode=114681085,"Torberg Arnesons Gate 8, Ålesund",67 m²,Eier (Selveier),Notar Ålesund,114681085,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/5/114/681/085_1862553040.jpg
"6 290 000,-",VISNING 1/11 kl. 17 - SAGA: Enebolig fra 2017 med godkjent utleie og garasje - 4 soverom i hoveddel ,https://www.finn.no/realestate/homes/ad.html?finnkode=132558090,"Aspesletta 4, Alta",214 m²,Eier (Selveier),EiendomsMegler 1 Alta,132558090,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/558/090_42985562.jpg
"2 890 000,-","Sandviken - Oppgradert toppleilighet med god standard, attraktiv beliggenhet og hems på 11 kvm. Fantastisk utsikt!",https://www.finn.no/realestate/homes/ad.html?finnkode=132557820,"Ladegårdsgaten 10, Bergen",58 m²,Andel,PrivatMegleren Vikebø & Jørgensen,132557820,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/0/132/557/820_1439068839.jpg
"3 390 000,-",Kvernaland<br><br> - NY VISNING! Enderekkehus over to plan med gjennomgående god standard. Parkering i carport. ,https://www.finn.no/realestate/homes/ad.html?finnkode=126922022,"Kvernbakken 87, Kvernaland",116 m²,Eier (Selveier),EiendomsMegler 1 Jærmegleren,126922022,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/2/126/922/022_504723222.jpg
"3 650 000,-",Havreneset - Attraktiv einebustad med fin beliggenheit. Hybelleilegheit i u.etg.,https://www.finn.no/realestate/homes/ad.html?finnkode=132557769,"Bergmovegen 5A, Florø",163 m²,Eier (Selveier),EIGEDOMSMEKLING SOGN OG FJORDANE AS,132557769,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/9/132/557/769_37176007.jpg
"1 790 000,-",Sentrum - Utrolig lekker 3-roms leilighet med fjordutsikt og stor balkong. Ingen forkjøpsrett,https://www.finn.no/realestate/homes/ad.html?finnkode=119676928,"Gjennomgangen 11, Mo i Rana",98 m²,Andel,DNB Eiendom AS,119676928,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/8/119/676/928_783462538.jpg
"6 998 000 - 9 998 000,-",PANORAMAVEGEN/GJØVIK - Utsøkte boliger med storslagen utsikt!,https://www.finn.no/realestate/newbuildings/ad.html?finnkode=132537004&page=15,"Panoramavegen hus 1-10, Gjøvik",147 - 185 m²,Eier (Selveier),Nordbohus Gjøvik AS,132537004,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/4/132/537/004_740372665.jpg
"4 500 000,-",#BJØLSEN - INNBYDENDE 3-ROMS I ROLIG BLINDGATE #Gjennomgående #Arealeffektiv #Peis #Balkong #Soverom mot bakgård #Ved Bjølsenparken,https://www.finn.no/realestate/homes/ad.html?finnkode=132557548,"Larviksgata 8, Oslo, Sagene - Torshov",60 m²,Aksje,Schala & Partners Carl Berner,132557548,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/8/132/557/548_809994332.jpg
"9 800 000,-",Kollentunet - Nytt rekkehus med solrik takterrasse med utsikt - garasjeplass - to bad - Hyggelige omgivelser!,https://www.finn.no/realestate/homes/ad.html?finnkode=132557495,"Kolletunet - Salg av kontraktsposisjon, Oslo, Vinderen",123 m²,Eier (Selveier),PrivatMegleren Allé,132557495,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/5/132/557/495_503486919.jpg
"8 950 000,-","YTRE ENEBAKK - Arkitekttegnet lekker enebolig fra 2017 med 6 soverom, 3 stuer, 3 bad, stor tomt, solrik terrasse og sentral beliggenhet!",https://www.finn.no/realestate/homes/ad.html?finnkode=119713120,"Svenskerudveien 41, Ytre Enebakk",317 m²,Eier (Selveier),DNB Eiendom Residens,119713120,https://images.finncdn.no/dynamic/480w/2018/8/vertical-2/22/0/119/713/120_1161905045.jpg
"2 090 000,-","SVELVIK/ BERGER - NY VISNING 05.11-  Flott enebolig i rekke med utsikt utover fjorden, hage og overbygget terrasse del.",https://www.finn.no/realestate/homes/ad.html?finnkode=123553965,"Midtstien 2, Berger",90 m²,Eier (Selveier),DNB Eiendom AS,123553965,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/03/5/123/553/965_59630563.jpg
"4 550 000,-","Vigrestad - Stokkalandsmarka - Innholdsrik enebolig med dobbel garasje, flott utsikt og godkjent leilighet",https://www.finn.no/realestate/homes/ad.html?finnkode=132556804,"Stokkalandsbakken 14, Vigrestad",256 m²,Eier (Selveier),Eiendomsmegler Vest Jæren,132556804,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/4/132/556/804_1961303304.jpg
"2 720 000,-","NORDBERG/KRINGSJÅ - Lys og pen 1(2)-roms m/vestvendt, solrik balkong. Fyring+ v.v. inkl. Attraktiv beliggenhet nær marka",https://www.finn.no/realestate/homes/ad.html?finnkode=132556769,"Minister Ditleffs vei 3A, Oslo, Sogn",33 m²,Andel,Eie Eiendomsmegling Majorstuen,132556769,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/9/132/556/769_194317140.jpg
"1 350 000,-",2-roms andelsleilighet i 3.etg. med utsikt - Heis,https://www.finn.no/realestate/homes/ad.html?finnkode=132495932,"St. Olavs Vei 20 D, leil. 317, Kristiansand S",47 m²,Andel,DNB Eiendom AS,132495932,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/25/2/132/495/932_1344216044.jpg
"1 390 000,-",Vennesla - Vennesla - romslig 3-roms leilighet med balkong,https://www.finn.no/realestate/homes/ad.html?finnkode=132556493,"Moskedalen 13B, Vennesla",66 m²,Eier (Selveier),DNB Eiendom AS,132556493,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/3/132/556/493_144504358.jpg
"5 500 000,-",Mogreina - Familievennlig enebolig fra 2008 - Stor solrik hage på hele 1302 kvm - 2 stuer - 6 sov - Dobbel garasje med lagringsloft,https://www.finn.no/realestate/homes/ad.html?finnkode=132556426,"Varderingen 7, Mogreina",209 m²,Eier (Selveier),PrivatMegleren Brustad & Partnere,132556426,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/6/132/556/426_1728154275.jpg
"3 390 000,-","Klepp - Innbydende leilighet i første etasje med to soverom, flott utsikt og garasjeplass. Attraktiv beliggenhet.",https://www.finn.no/realestate/homes/ad.html?finnkode=132556297,"Orrevegen 2, Kleppe",66 m²,Eier (Selveier),Eiendomsmegler Vest Jæren,132556297,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/26/7/132/556/297_1549997569.jpg
